autor,g.r.,mesto,razred,škola,mesto š.,prog,A5,god,naslov,link
Žeravčić Zorana,1982,Zemun,treći,Treća beogradska gimnazija,Beograd,AST,5,2000,Zavisnost raspodele sjaja po Mesečevom disku od faze,pdf/2000/z00-1101zorana.pdf
Petković Marko,1984,Niš,drugi,"Gimnazija ""Svetozar Marković""",Niš,FIZ,12,2000,Odredjivanje profila kapljice na ravnoj podlozi,pdf/2000/z00-1201marko.pdf
Petrović Katarina,1984,Beograd,drugi,Matematička gimnazija,Beograd,FIZ,13,2000,Standardni i višedimenzioni Bak Sneppenow model evolucije,pdf/2000/z00-1202katarina.pdf
Bihelović Filip,1981,Beograd,četvrti,Hemijsko-prehrambrena tehnološka škola,Beograd,HEM,7,2000,"Primena reakcije katalitičke oksidacije mono-, di- i tri hidroksi arena vodonik peroksidom za odredjivanje mikrokoličina bakra",pdf/2000/z00-1301filip_b.pdf
Puzović Miloš,1983,Čačak,drugi,Gimnazija,Čačak,RAČ,10,2000,MC - modifikacija C okruženja prilagodjena modularnom programiranju,pdf/2000/z00-1301puzovic.pdf
Momić Snežana,1983,Banja Luka,treći,"Elektrotehnička škola ""Nikola Tesla""",Banja Luka,ELE,11,2000,Laserski modem sa paralelnim prenosom podataka,pdf/2000/z00-1302lmodem1.pdf
Gavrilović Milan,1981,Kragujevac,četvrti,Prva kragujevačka gimnazija,Kragujevac,ELE,11,2000,Laserski modem sa paralelnim prenosom podataka,pdf/2000/z00-1302lmodem1.pdf
Djokić Vladimir,1984,Bor,prvi,"Gimnazija ""Bora Stanković""",Bor,BIO,11,2000,"Uticaj nekih mikroklimatskih faktora na diferencijaciju zajednice tipa Querco-Carpinetum moesiacum (serbicum) Rudski 1949, u okolini Petnice",pdf/2000/z00-2101vlada.pdf
Tomašev Nenad,1985,Novi Sad,prvi,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,BIO,5,2000,Istraživanje faune orthoptera okoline Petnice,pdf/2000/z00-2102tomasev.pdf
Banjac Vladimir,1983,Novi Sad,drugi,"Gimnazija ""Laza Kostić""",Novi Sad,BIO,5,2000,Istraživanje faune orthoptera okoline Petnice,pdf/2000/z00-2102tomasev.pdf
Jovanović Boris,1982,Niš,treći,Gimnazija 9 maj,Niš,BIO,8,2000,Kvalitativni i kvantitativni sastav ihtiofaune reke Gradac,pdf/2000/z00-2103ribe.pdf
Rakić Danijel,1981,Valjevo,četvrti,Ekonomska škola,Valjevo,BIO,8,2000,Kvalitativni i kvantitativni sastav ihtiofaune reke Gradac,pdf/2000/z00-2103ribe.pdf
Petrović Anita,1983,Aleksinac,drugi,Gimnazija,Aleksinac,BIO,10,2000,Mikroflora Petničke pećine,pdf/2000/z00-2104peccina.pdf
Jevtić Dragan,1984,Novi Sad,prvi,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,BIO,10,2000,Mikroflora Petničke pećine,pdf/2000/z00-2104peccina.pdf
Lukić Jelena,1982,Beograd,treći,XIII beogradska gimnazija,Beograd,BIO,10,2000,Mikroflora Petničke pećine,pdf/2000/z00-2104peccina.pdf
Dinjaški Nina,1985,Kikinda,prvi,"Gimnazija ""Dušan Vasiljev""",Kikinda,BIO,7,2000,Ispitivanje uticaja fungicida TMTD na klijavost semena kukuruza (Zea mays L.) graška (Pisum sativum L.) i pasulja (Phaseolus vulgaris L.),pdf/2000/z00-2105nina1.pdf
Kisa Gorjana,1983,Beograd,treći,V beogradska gimnazija,Beograd,BIO,7,2000,Uticaj giberelina i svetlosti na izduživanje stabla izdanaka vilinog sita (Carlina acaulis L.) dobijenih u kulturi in vitro,pdf/2000/z00-2106gorjana.pdf
Maličević Maja,1982,Subotica,treći,"Gimnazija ""Svetozar Marković""",Subotica,BIO,8,2000,Uticaj različitih citokinina na retenciju hlorofila kod mahovina Conocephalum conicum (L.) Underw i Plagiomnium undulatum (Hedw.),pdf/2000/z00-2107maja.pdf
Popović Željko,1983,Zrenjanin,drugi,Zrenjaninska gimnazija,Zrenjanin,BIO,6,2000,"Uticaj natrijuma, hlora, gvoždja i zagadjene vode begeja na klijanje semena zelene salate (Lactuca sativa L.)",pdf/2000/z00-2108popovic.pdf
Marjanović Milena,1981,Požarevac,četvrti,"Gimnazija ""JovanŠerbanović""",Požarevac,GLG,7,2000,Geološko kartiranje okoline Rama,pdf/2000/z00-2201milena.pdf
Marjanović Miloš,1983,Požarevac,drugi,"Gimnazija ""Jovan Šerebanović""",Požarevac,GLG,7,2000,Geološko kartiranje okoline Rama,pdf/2000/z00-2201milena.pdf
Sretenović Tijana,1983,Beograd,drugi,V beogradska gimnazija,Beograd,GLG,6,2000,Neogeni i kvartarni sedimenti Mirijeva i Slanaca,pdf/2000/z00-2202tijana.pdf
Ivanov Ivan,1982,Bor,treći,"Gimnazija ""Bora Stanković""",Bor,GLG,8,2000,Hidrohemijske karakteristike termomineralnih voda Brestovačke banje,pdf/2000/z00-2203ivanov.pdf
Petrović Branislav,1981,Kragujevac,četvrti,Druga kragujevačka gimnazija,Kragujevac,GLG,6,2000,Zagadjenje podzemnih voda sela Priboj kod Leskovca,pdf/2000/z00-2204bane.pdf
Petronijević Fillip,1982,Čačak,treći,Gimnazija,Čačak,HEM,6,2000,Ispitivanje uticaja gvozdenog eksera na promenu hemijskog sastava jabuke,pdf/2000/z00-2302filip_p.pdf
Branković Aleksandra,1983,Despotovac,treći,Medicinska škola,Ćuprija,BMD,4,2000,Uticaj malationa na količinu ekstrahovanog mentola iz etarskih ulja pitome nane,pdf/2000/z00-2401alexandra.pdf
Arsić Radivoje,1975,Paraćin,apsolvent,Filozofski fakultet,Beograd,AHL,13,2000,Srednjovekovni manastir u Petnici,pdf/2000/z00-3101arsa.pdf
Milikić Ratomir,1980,,I godina,Filozofski fakultet,Beograd,AHL,13,2000,Srednjovekovni manastir u Petnici,pdf/2000/z00-3101arsa.pdf
Radivojević Miljana,1980,Prokuplje,I god,Filozofski fakultet,Beograd,AHL,25,2000,Tipologija i distribucija bakarnih predmeta tipa Pločnik na prostoru jugoistočne Evrope,pdf/2000/z00-3102miljana.pdf
Stevanović Petar,1978,Mladenovac,II god,Filozofski fakultet,Beograd,AHL,13,2000,Tematsko rekognosciranje i planigrafija lokaliteta Ilića brdo - Nepričava,pdf/2000/z00-3104pera.pdf
Marić Marija,1982,Aleksandrovac,treći,Gimnazija,Kruševac,AHL,13,2000,Tematsko rekognosciranje i planigrafija lokaliteta Ilića brdo - Nepričava,pdf/2000/z00-3104pera.pdf
Garača Vuk,1981,Kovilj,četvrti,"Gimnazija ""Svetozar Marković""",Novi Sad,AHL,13,2000,Tematsko rekognosciranje i planigrafija lokaliteta Ilića brdo - Nepričava,pdf/2000/z00-3104pera.pdf
Filipović Mirjana,1982,Valjevo,četvrti,Valjevska gimnazija,Valjevo,ANT,9,2000,Priča o drekavcu iz kanjona Gradca - tradicijski obrasci u savremenom folkloru,pdf/2000/z00-3201mira.pdf
Palibrk Vladimir,1981,Pančevo,četvrti,Filološka gimnazija,Beograd,LIN,11,2000,Neke karakteristike jezika na javnom čet kanalu Serbiancafe,pdf/2000/z00-3301palibrk.pdf
Antić Ana,1982,Bečej,četvrti,Gimnazija,Bečej,LIN,13,2000,Verbalna komika u delima Branislava Nušića i Dušana Kovačevića,pdf/2000/z00-3302antic.pdf
Simonović Marko,1983,Zaječar,drugi,Gimnazija,Zaječar,LIN,20,2000,Medjusobni uticaji kosovsko-resavskog i prizrensko-timočkog dijalekta i srpskog književnog jezika na primeru idiolekta Živke Miljković,pdf/2000/z00-3303simonovi.pdf
Stevanović Jasmina,1982,Novi Sad,treći,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,PSH,6,2000,Subjektivna istorija umetnosti,pdf/2000/z00-3401jasmina.pdf
Djukić Miodrag,1983,Novi Sad,treći,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,ELE,6,2000,Optoelektronski uredjaj za 3D skeniranje objekata primenom metode triangulacije,pdf/2000/z00-13013ds.pdf
Vidanović Ivana,1983,Jagodina,četvrti,Matematička gimnazija,Beograd,AST,9,2001,Odredjivanje metaličnosti unutrašnjeg haloa Mlečnog puta,pdf/2001/z01-1101ivana.pdf
